Model,n,Mean S_need,S_need CI,S_need p,S_need d,Human Agree %,ROC-AUC,Mean R_pref,R_pref CI
Claude,249,0.7344,"(0.6843, 0.7837)",1.0304247040654181e-22,-0.6659,46.2,0.5546,-0.3206,"(-0.4499, -0.1937)"
DeepSeek,250,0.8931,"(0.8736, 0.9115)",5.807203949386362e-21,-0.6883,39.6,0.485,0.684,"(0.6248, 0.7438)"
GPT-4o,250,0.9619,"(0.9520, 0.9709)",4.753929257703529e-14,-0.5094,22.0,0.539,-0.2603,"(-0.3169, -0.2044)"
GPT-5,250,0.9965,"(0.9939, 0.9987)",0.0029807046202068384,-0.1824,8.0,0.5216,0.6009,"(0.5298, 0.6706)"
Gemini,250,0.8869,"(0.8651, 0.9069)",3.80765244083795e-22,-0.6632,38.4,0.4703,0.228,"(0.1616, 0.2945)"
Llama-8B,250,0.8155,"(0.7920, 0.8379)",6.635515859221765e-33,-0.9915,69.6,0.5776,-0.3677,"(-0.4302, -0.3080)"
Llama-17B,250,0.7979,"(0.7720, 0.8227)",1.0072336254395297e-30,-1.0027,65.6,0.5613,-0.1342,"(-0.1837, -0.0848)"
Llama-70B,250,0.8067,"(0.7803, 0.8323)",4.741173708457076e-27,-0.9126,58.4,0.5873,0.1635,"(0.1111, 0.2155)"
Mistral-7B,250,0.88,"(0.8643, 0.8949)",9.74442363081197e-32,-0.9616,57.6,0.5922,-0.3609,"(-0.4085, -0.3136)"
Mistral-24B,250,0.9235,"(0.9085, 0.9368)",8.119822238475327e-23,-0.6748,38.0,0.5838,-0.0273,"(-0.0834, 0.0264)"
Qwen,250,0.9323,"(0.9189, 0.9440)",8.119822238475327e-23,-0.6603,36.0,0.5878,-0.1944,"(-0.2433, -0.1461)"
